"ID","Gene symbol"
"A_24_P606663",""
"A_23_P42588","GIMAP5"
"A_23_P80718","SYNPR"
"A_33_P3372600","LOC100129119"
"A_33_P3350452",""
"A_33_P3401452","CHD6"
"A_33_P3414242","MOG"
"A_33_P3356525","FLJ45482"
"A_33_P3260667","OR2T34"
"A_21_P0013755","FAM3C"
"A_24_P185314","NAPG"
"A_33_P3419632","GLB1L3"
"A_21_P0010801","XLOC_l2_001421"
"A_33_P3411338","ENPEP"
"A_24_P92367","YDJC"
"ETG08_142674",""
"A_21_P0005086","XLOC_005919"
"A_21_P0013125","FLJ23152"
"A_33_P3335735","LOC100128977"
"A_21_P0012108","XLOC_l2_008450"
"A_33_P3290924","BAG1"
"A_21_P0003452","XLOC_003911"
"A_23_P114689","ASAP3"
"A_23_P43337","FREM1"
"A_23_P104464","ALOX5"
"A_21_P0002945","LOC729454"
"A_21_P0005646","XLOC_006689"
"A_33_P3334615","CNGA2"
"A_33_P3267195","KU-MEL-3"
"A_33_P3400943","C16orf5"
"A_21_P0007806","FLJ31485"
"A_21_P0006575","XLOC_008116"
"A_23_P344037","CHFR"
"A_21_P0008425","XLOC_011006"
"A_24_P97931","CSNK2B"
"A_23_P121545","GPM6A"
"A_33_P3250861","ZIC3"
"A_21_P0006562","XLOC_007971"
"A_33_P3360227",""
"A_21_P0006578","XLOC_008151"
"A_23_P103919","B4GALT3"
"A_21_P0012249","XLOC_l2_009301"
"A_21_P0014160","LOC100505697"
"A_23_P17275","DNAJC27"
"A_21_P0005224","XLOC_006048"
"A_33_P3378707","LOC646214"
"A_21_P0000753","LOC100507086"
"A_23_P97328","C1orf35"
"A_33_P3313660","BRD7P3"
"ERCC-00014_76",""
"A_21_P0000441","SNORD115-5"
"A_23_P14928","COQ9"
"A_23_P310701","KIAA1383"
"(+)E1A_r60_a135",""
"A_23_P408206","TBC1D21"
"ERCC-00116_142",""
"A_33_P3349501",""
"A_21_P0011487","XLOC_l2_005517"
"ERCC-00095_63",""
"A_23_P103511","C1orf226"
"A_21_P0005693","XLOC_006790"
"A_23_P111811","ING3"
"A_23_P105313","EIF2B1"
"A_21_P0010584","XLOC_l2_000696"
"A_33_P3323323","ZNF497"
"A_23_P166526","RIBC2"
"A_21_P0009206","XLOC_012596"
"A_21_P0010832","XLOC_l2_001640"
"A_24_P202329","LOC146880"
"A_24_P97825","CCDC69"
"A_21_P0002048","XLOC_002078"
"ERCC-00048_92",""
"A_33_P3246198","C10orf120"
"A_23_P330537","SPSB3"
"A_23_P30122","IL2"
"A_21_P0011106","LOC100507055"
"A_23_P135326","POLE3"
"A_21_P0002120","XLOC_002402"
"A_21_P0002913","XLOC_003349"
"A_23_P63825","GOT1"
"A_33_P3274478","UNC119B"
"A_33_P3236071","CLEC1B"
"A_21_P0000473","SNORA84"
"A_21_P0007922","XLOC_010293"
"A_21_P0014003","LOC100652766"
"A_21_P0010761","XLOC_l2_000941"
"A_19_P00320144","XLOC_003428"
"ERCC-00104_60",""
"A_24_P72394","RBAK"
"A_23_P31453","STEAP1"
"A_33_P3854030","MBD5"
"A_33_P3255647","RPL36A-HNRNPH2"
"A_21_P0004943","XLOC_005466"
"A_21_P0005611","XLOC_006625"
"A_21_P0010245","XLOC_013942"
"A_23_P379200","FMNL3"
"A_24_P88554","PEX11B"
"A_23_P119102","VASP"
"A_19_P00319946","XLOC_003677"
"A_33_P3334895","GRIN2A"
"A_23_P205529","METTL17"
"A_23_P123905","EXOSC3"
"ERCC-00040_174",""
"A_23_P44768","TBK1"
"A_21_P0001657","XLOC_000022"
"A_33_P3249837",""
"A_23_P32233","KLF4"
"A_33_P3255824",""
"A_24_P915692","PHLDA1"
"A_23_P501435","CSRP2BP"
"A_33_P3391419","SOBP"
"ERCC-00130_136",""
"A_33_P3347040","LOC100131094"
"A_33_P3265309","CEACAM4"
"A_21_P0006984","XLOC_008770"
"A_23_P28105","TSN"
"A_21_P0001141","XLOC_000869"
"A_33_P3358712","POLR2M"
"A_33_P3839897","RNU4ATAC"
"A_21_P0000264","SNORD74"
"A_23_P374689","GAD1"
"A_33_P3328289",""
"A_23_P109072","SALL4"
"A_21_P0001032","XLOC_000473"
"A_23_P24104","PLAU"
"A_33_P3264569",""
"A_23_P76249","KRT6B"
"A_23_P384532","CCDC11"
"A_21_P0010038","XLOC_013743"
"ERCC-00017_150",""
"A_23_P104892","EIF4G2"
"A_21_P0010562","LOC388692"
"A_33_P3283646",""
"A_33_P3249224","BAAT"
"A_23_P113572","CD19"
"A_33_P3289422","ZNF765"
"A_21_P0001338","XLOC_000293"
"A_33_P3418686","HCN4"
"A_24_P500422","LOC730101"
"A_33_P3277328","LOC730102"
"A_21_P0013205","XLOC_l2_013427"
"ERCC-00067_104",""
"A_23_P128930","PSMC6"
"A_23_P103256","CFHR3"
"A_32_P377880","GDNF"
